author_id fixed_file
A100UD67AHFODS A100UD67AHFODS/A100UD67AHFODS_ClothingShoesandJewelry.txt
A100UD67AHFODS A100UD67AHFODS/A100UD67AHFODS_Beauty.txt
A100UD67AHFODS A100UD67AHFODS/A100UD67AHFODS_InstantVideo.txt
A100WO06OQR8BQ A100WO06OQR8BQ/A100WO06OQR8BQ_CellPhonesandAccessories.txt
A100WO06OQR8BQ A100WO06OQR8BQ/A100WO06OQR8BQ_OfficeProducts.txt
A100WO06OQR8BQ A100WO06OQR8BQ/A100WO06OQR8BQ_HealthandPersonalCare.txt
A1047EDJ84IMAS A1047EDJ84IMAS/A1047EDJ84IMAS_HealthandPersonalCare.txt
A1047EDJ84IMAS A1047EDJ84IMAS/A1047EDJ84IMAS_HomeandKitchen.txt
A1047EDJ84IMAS A1047EDJ84IMAS/A1047EDJ84IMAS_Electronics.txt
A105S56ODHGJEK A105S56ODHGJEK/A105S56ODHGJEK_DigitalMusic.txt
A105S56ODHGJEK A105S56ODHGJEK/A105S56ODHGJEK_HomeandKitchen.txt
A105S56ODHGJEK A105S56ODHGJEK/A105S56ODHGJEK_CellPhonesandAccessories.txt
A106Q1A6LGU4DP A106Q1A6LGU4DP/A106Q1A6LGU4DP_CellPhonesandAccessories.txt
A106Q1A6LGU4DP A106Q1A6LGU4DP/A106Q1A6LGU4DP_HomeandKitchen.txt
A106Q1A6LGU4DP A106Q1A6LGU4DP/A106Q1A6LGU4DP_HealthandPersonalCare.txt
A10ASLX7DTTB6Z A10ASLX7DTTB6Z/A10ASLX7DTTB6Z_HealthandPersonalCare.txt
A10ASLX7DTTB6Z A10ASLX7DTTB6Z/A10ASLX7DTTB6Z_OfficeProducts.txt
A10ASLX7DTTB6Z A10ASLX7DTTB6Z/A10ASLX7DTTB6Z_HomeandKitchen.txt
A10C5CJK1YKGV0 A10C5CJK1YKGV0/A10C5CJK1YKGV0_MoviesandTV.txt
A10C5CJK1YKGV0 A10C5CJK1YKGV0/A10C5CJK1YKGV0_HomeandKitchen.txt
A10C5CJK1YKGV0 A10C5CJK1YKGV0/A10C5CJK1YKGV0_HealthandPersonalCare.txt
A10E3F50DIUJEE A10E3F50DIUJEE/A10E3F50DIUJEE_Beauty.txt
A10E3F50DIUJEE A10E3F50DIUJEE/A10E3F50DIUJEE_MoviesandTV.txt
A10E3F50DIUJEE A10E3F50DIUJEE/A10E3F50DIUJEE_GroceryandGourmetFood.txt
A10H24TDLK2VDP A10H24TDLK2VDP/A10H24TDLK2VDP_GroceryandGourmetFood.txt
A10H24TDLK2VDP A10H24TDLK2VDP/A10H24TDLK2VDP_HomeandKitchen.txt
A10H24TDLK2VDP A10H24TDLK2VDP/A10H24TDLK2VDP_HealthandPersonalCare.txt
A10IKHRUSMKP46 A10IKHRUSMKP46/A10IKHRUSMKP46_GroceryandGourmetFood.txt
A10IKHRUSMKP46 A10IKHRUSMKP46/A10IKHRUSMKP46_KindleStore.txt
A10IKHRUSMKP46 A10IKHRUSMKP46/A10IKHRUSMKP46_CellPhonesandAccessories.txt
A10O7THJ2O20AG A10O7THJ2O20AG/A10O7THJ2O20AG_HomeandKitchen.txt
A10O7THJ2O20AG A10O7THJ2O20AG/A10O7THJ2O20AG_OfficeProducts.txt
A10O7THJ2O20AG A10O7THJ2O20AG/A10O7THJ2O20AG_CellPhonesandAccessories.txt
A10PEXB6XAQ5XF A10PEXB6XAQ5XF/A10PEXB6XAQ5XF_MoviesandTV.txt
A10PEXB6XAQ5XF A10PEXB6XAQ5XF/A10PEXB6XAQ5XF_AppsforAndroid.txt
